Date,2002-03-05 00:00:00,2002-03-05 00:00:00,2002-03-05 00:00:00,2002-03-05 00:00:00,2002-03-05 00:00:00,2002-03-05 00:00:00,2002-03-05 00:00:00,2002-03-05 00:00:00,2002-03-05 00:00:00,2002-03-05 00:00:00,2002-03-05 00:00:00,2002-03-05 00:00:00,2002-11-05 00:00:00,2002-11-05 00:00:00,2002-11-05 00:00:00,2002-11-05 00:00:00,2002-11-05 00:00:00,2002-11-05 00:00:00,2002-11-05 00:00:00,2002-11-05 00:00:00,2002-11-05 00:00:00,2002-11-05 00:00:00,2002-11-05 00:00:00,2002-11-05 00:00:00,2002-11-05 00:00:00,2002-11-05 00:00:00,2003-10-07 00:00:00,2003-10-07 00:00:00,2003-10-07 00:00:00,2003-10-07 00:00:00,2004-03-02 00:00:00,2004-03-02 00:00:00,2004-03-02 00:00:00,2004-03-02 00:00:00,2004-03-02 00:00:00,2004-03-02 00:00:00,2004-03-02 00:00:00,2004-03-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2004-11-02 00:00:00,2006-06-06 00:00:00,2006-06-06 00:00:00,2006-06-06 00:00:00,2006-06-06 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2006-11-07 00:00:00,2008-02-05 00:00:00,2008-02-05 00:00:00,2008-02-05 00:00:00,2008-02-05 00:00:00,2008-02-05 00:00:00,2008-02-05 00:00:00,2008-02-05 00:00:00,2008-02-05 00:00:00,2008-02-05 00:00:00,2008-02-05 00:00:00,2008-02-05 00:00:00,2008-02-05 00:00:00,2008-02-05 00:00:00,2008-02-05 00:00:00,2008-06-03 00:00:00,2008-06-03 00:00:00,2008-06-03 00:00:00,2008-06-03 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2008-11-04 00:00:00,2009-05-19 00:00:00,2009-05-19 00:00:00,2009-05-19 00:00:00,2009-05-19 00:00:00,2009-05-19 00:00:00,2009-05-19 00:00:00,2009-05-19 00:00:00,2009-05-19 00:00:00,2009-05-19 00:00:00,2009-05-19 00:00:00,2009-05-19 00:00:00,2009-05-19 00:00:00,2010-06-08 00:00:00,2010-06-08 00:00:00,2010-06-08 00:00:00,2010-06-08 00:00:00,2010-06-08 00:00:00,2010-06-08 00:00:00,2010-06-08 00:00:00,2010-06-08 00:00:00,2010-06-08 00:00:00,2010-06-08 00:00:00,2010-11-02 00:00:00,2010-11-02 00:00:00,2010-11-02 00:00:00,2010-11-02 00:00:00,2010-11-02 00:00:00,2010-11-02 00:00:00,2010-11-02 00:00:00,2010-11-02 00:00:00,2010-11-02 00:00:00,2010-11-02 00:00:00,2010-11-02 00:00:00,2010-11-02 00:00:00,2010-11-02 00:00:00,2010-11-02 00:00:00,2010-11-02 00:00:00,2010-11-02 00:00:00,2010-11-02 00:00:00,2010-11-02 00:00:00,2012-06-05 00:00:00,2012-06-05 00:00:00,2012-06-05 00:00:00,2012-06-05 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2012-11-06 00:00:00,2014-06-03 00:00:00,2014-06-03 00:00:00,2014-06-03 00:00:00,2014-06-03 00:00:00,2014-11-04 00:00:00,2014-11-04 00:00:00,2014-11-04 00:00:00,2014-11-04 00:00:00,2014-11-04 00:00:00,2014-11-04 00:00:00,2014-11-04 00:00:00,2014-11-04 00:00:00,2014-11-04 00:00:00,2014-11-04 00:00:00,2014-11-04 00:00:00,2014-11-04 00:00:00,2016-06-07 00:00:00,2016-06-07 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00,2016-11-08 00:00:00
Proposition,Proposition_40,Proposition_40,Proposition_41,Proposition_41,Proposition_42,Proposition_42,Proposition_43,Proposition_43,Proposition_44,Proposition_44,Proposition_45,Proposition_45,Proposition_46,Proposition_46,Proposition_47,Proposition_47,Proposition_48,Proposition_48,Proposition_49,Proposition_49,Proposition_50,Proposition_50,Proposition_51,Proposition_51,Proposition_52,Proposition_52,Proposition_53,Proposition_53,Proposition_54,Proposition_54,Proposition_55,Proposition_55,Proposition_56,Proposition_56,Proposition_57,Proposition_57,Proposition_58,Proposition_58,Proposition_1A,Proposition_1A,Proposition_59,Proposition_59,Proposition_60,Proposition_60,Proposition_60A,Proposition_60A,Proposition_61,Proposition_61,Proposition_62,Proposition_62,Proposition_63,Proposition_63,Proposition_64,Proposition_64,Proposition_65,Proposition_65,Proposition_66,Proposition_66,Proposition_67,Proposition_67,Proposition_68,Proposition_68,Proposition_69,Proposition_69,Proposition_70,Proposition_70,Proposition_71,Proposition_71,Proposition_72,Proposition_72,Proposition_81,Proposition_81,Proposition_82,Proposition_82,Proposition_1A,Proposition_1A,Proposition_1B,Proposition_1B,Proposition_1C,Proposition_1C,Proposition_1D,Proposition_1D,Proposition_1E,Proposition_1E,Proposition_83,Proposition_83,Proposition_84,Proposition_84,Proposition_85,Proposition_85,Proposition_86,Proposition_86,Proposition_87,Proposition_87,Proposition_88,Proposition_88,Proposition_89,Proposition_89,Proposition_90,Proposition_90,Proposition_91,Proposition_91,Proposition_92,Proposition_92,Proposition_93,Proposition_93,Proposition_94,Proposition_94,Proposition_95,Proposition_95,Proposition_96,Proposition_96,Proposition_97,Proposition_97,Proposition_98,Proposition_98,Proposition_99,Proposition_99,Proposition_10,Proposition_10,Proposition_11,Proposition_11,Proposition_12,Proposition_12,Proposition_1A,Proposition_1A,Proposition_2,Proposition_2,Proposition_3,Proposition_3,Proposition_4,Proposition_4,Proposition_5,Proposition_5,Proposition_6,Proposition_6,Proposition_7,Proposition_7,Proposition_8,Proposition_8,Proposition_9,Proposition_9,Proposition_1A,Proposition_1A,Proposition_1B,Proposition_1B,Proposition_1C,Proposition_1C,Proposition_1D,Proposition_1D,Proposition_1E,Proposition_1E,Proposition_1F,Proposition_1F,Proposition_13,Proposition_13,Proposition_14,Proposition_14,Proposition_15,Proposition_15,Proposition_16,Proposition_16,Proposition_17,Proposition_17,Proposition_19,Proposition_19,Proposition_20,Proposition_20,Proposition_21,Proposition_21,Proposition_22,Proposition_22,Proposition_23,Proposition_23,Proposition_24,Proposition_24,Proposition_25,Proposition_25,Proposition_26,Proposition_26,Proposition_27,Proposition_27,Proposition_28,Proposition_28,Proposition_29,Proposition_29,Proposition_30,Proposition_30,Proposition_31,Proposition_31,Proposition_32,Proposition_32,Proposition_33,Proposition_33,Proposition_34,Proposition_34,Proposition_35,Proposition_35,Proposition_36,Proposition_36,Proposition_37,Proposition_37,Proposition_38,Proposition_38,Proposition_39,Proposition_39,Proposition_40,Proposition_40,Proposition_41,Proposition_41,Proposition_42,Proposition_42,Proposition_1,Proposition_1,Proposition_2,Proposition_2,Proposition_45,Proposition_45,Proposition_46,Proposition_46,Proposition_47,Proposition_47,Proposition_48,Proposition_48,Proposition_50,Proposition_50,Proposition_51,Proposition_51,Proposition_52,Proposition_52,Proposition_53,Proposition_53,Proposition_54,Proposition_54,Proposition_55,Proposition_55,Proposition_56,Proposition_56,Proposition_57,Proposition_57,Proposition_58,Proposition_58,Proposition_59,Proposition_59,Proposition_60,Proposition_60,Proposition_61,Proposition_61,Proposition_62,Proposition_62,Proposition_63,Proposition_63,Proposition_64,Proposition_64,Proposition_65,Proposition_65,Proposition_66,Proposition_66,Proposition_67,Proposition_67
Votes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
Alameda,74228,142873,81464,130697,80340,131633,48057,162061,35936,170143,109106,103863,110637,217340,102505,227900,71099,235466,148765,180883,117234,206385,137235,174428,156720,168614,255074,131890,310276,99280,114812,189242,163585,138171,136641,167108,110221,191400,86150,410330,68812,430845,137688,337226,131772,342467,158177,350761,276125,214588,173144,341208,268978,221395,272978,181910,211178,322110,333171,175389,439382,83195,245812,272501,403406,113306,171565,360975,186273,331006,98402,155940,116841,141575,96194,294913,133892,257405,126346,265426,123902,268872,107046,281419,155449,236514,135872,250867,271941,123919,162600,238235,159215,241338,272545,118322,235966,151308,231157,138882,252198,132006,213647,181998,202558,196842,218334,186078,218082,185887,218186,185544,217358,184537,147218,60612,67714,138428,343343,224252,296212,240907,191526,356146,214939,362725,172719,414123,230343,343670,379586,211293,285216,289041,406843,151743,385315,188869,378692,232923,299848,259651,125858,99052,112652,111965,129639,94076,134067,88669,135920,86510,45000,179785,41601,203629,123013,126061,112279,129953,164251,86527,158837,90466,199309,257005,211987,215847,193906,254647,204023,223306,338147,106106,189635,237598,128378,308970,268423,161125,222783,196189,71322,151225,79140,151004,150109,431965,334520,196104,405243,163044,358471,195297,212580,354242,119047,443513,120834,443650,234669,338547,378442,175225,136432,403944,122553,389045,57406,140879,63544,126343,98700,244683,94073,243511,160153,184451,221153,125880,89707,254233,192011,131413,69938,272073,238800,388254,144095,474148,368952,236803,209933,391069,161335,464626,163267,477303,143590,484119,114819,512567,192115,388587,340950,253245,251476,345490,231919,379990,142826,478253,211277,417599,324200,282191,351432,231988,182455,433763
Alpine,256,281,296,233,186,344,143,382,91,423,321,198,246,287,231,305,127,391,283,277,294,251,309,216,332,210,348,175,268,260,276,224,295,193,220,275,156,342,112,537,105,551,188,424,130,500,292,366,334,305,284,371,302,321,325,261,248,414,471,191,599,81,286,383,508,162,269,391,335,322,240,187,232,196,103,411,237,276,218,299,219,297,224,292,202,318,284,229,348,166,244,281,247,273,389,133,384,128,243,249,286,171,305,157,193,266,217,248,221,244,222,244,219,248,218,237,140,300,430,233,369,259,235,425,336,331,247,418,327,326,413,250,384,282,498,151,370,291,379,293,322,330,211,131,209,135,208,137,211,134,199,146,56,289,84,387,200,275,251,202,294,157,285,175,224,335,207,318,261,290,187,348,329,212,294,225,220,315,283,241,299,221,161,289,203,258,279,351,383,220,328,296,430,191,337,286,108,516,145,485,218,416,445,182,220,400,174,414,180,301,192,202,201,242,143,292,218,229,321,118,157,288,222,213,90,361,266,323,175,397,294,279,265,304,215,367,227,368,183,398,155,424,199,365,388,178,309,250,280,304,310,278,224,370,404,176,308,236,264,321
Amador,5883,3605,5888,3573,3177,6322,3325,6057,2154,7215,6848,2670,6815,5534,6274,6168,3821,7901,6315,6211,7847,4383,7378,4730,8517,3833,8892,4671,7197,6747,7352,4949,8358,3988,4345,8050,3293,9070,2610,14091,3270,13452,6460,9397,3908,12185,9117,7480,9515,6894,9382,7556,5751,10737,10036,5494,11030,6262,13733,3105,15393,1944,5392,11662,14604,2785,8981,8411,11320,5805,6844,4125,7718,3407,4084,10357,7570,6832,7638,6787,8239,6121,6994,7422,4604,10031,9108,5133,7501,7087,9882,5002,10220,4488,12065,2283,11972,2461,6540,7948,8202,5573,9032,4879,8639,5412,7708,6582,7738,6581,7730,6580,7735,6585,5265,4073,4031,5210,13068,4710,8052,9145,7398,10512,11988,5974,8507,9755,11158,6486,9397,8704,12782,5191,12856,4661,12636,5102,6725,11945,8592,9106,6980,2920,6795,3104,6809,3084,6886,2978,6965,2884,1959,7964,1965,9352,4535,6914,7160,3861,5489,5967,5698,5802,9576,6706,4944,10528,10638,5403,5826,9737,7808,8029,10154,5310,8195,7655,6320,9176,10423,4916,5347,5962,7197,4253,10693,6813,11156,5489,8252,9112,9715,7316,11378,5888,3612,13557,6790,10436,11348,5893,13787,3324,9212,7620,5170,11333,3773,5497,4943,4079,5903,6659,5108,7320,9141,3466,9543,3146,6719,5914,9218,3351,2328,9594,10753,6774,7627,9807,8125,9146,6439,10791,8864,8587,9884,7986,9773,7784,7160,10319,9914,6823,10882,6135,11388,5984,12430,5141,11938,5768,9291,8607,11746,5638,7477,9502,11082,6572
Butte,25178,21833,24582,24682,15433,33720,12224,36395,10129,37624,32700,16543,29419,27209,30175,28420,17379,38030,32435,25846,35067,22802,37215,20176,40028,19052,43476,19022,35993,28668,32629,23559,37273,19162,24637,31753,18280,36334,12491,76352,14051,74400,31285,53401,18879,66034,46486,43322,43841,44407,46031,44667,34495,53453,49907,32040,44293,47334,71553,17239,75930,14428,35141,56305,67423,24002,43831,49212,53341,37501,27465,16528,29070,15325,16627,50020,31862,34942,33332,33467,35016,31949,24403,42520,23872,43785,38980,27148,35609,31952,44494,24030,43841,24233,54560,12645,51363,15206,31269,34807,38519,24736,42973,22058,40109,25047,33237,32596,33247,32708,33182,32659,33183,32736,22903,18448,14982,26349,63720,29436,40477,49394,34512,58074,59497,34988,41382,54213,55660,37970,51084,44553,57740,36463,68962,23173,64193,29347,43045,54822,46570,45424,27354,15895,26465,16690,27850,15333,27472,15608,27729,15264,8327,35008,8472,40908,21964,28089,32195,16737,27405,22621,27663,22383,43818,31969,24659,46472,46717,27667,25485,46051,40501,33514,45953,25213,37400,35359,34148,36980,46542,23495,20753,30283,30992,20890,45336,43213,45060,37862,45239,41924,48849,36477,51973,34873,19721,66879,28343,58484,47684,40488,66032,20157,37962,46711,22521,59438,15706,23855,19553,18901,28754,31281,19320,39596,35259,24607,44626,15960,26869,33394,37973,20984,16417,43973,45420,47658,28790,63181,41380,48918,29754,61353,37637,55286,46110,49566,40077,53534,28612,64490,43554,44846,56823,34112,57104,34153,57078,36322,54611,39619,44697,51034,51364,41067,40289,48592,47356,46666
Calaveras,7642,4923,7642,4763,4057,8441,4349,7912,2629,9515,8362,4026,8476,6177,8237,6388,5014,9099,7767,7114,9347,5353,9420,4970,10157,4620,11221,5843,9403,8110,9449,5764,10368,4885,5787,9536,4340,10887,3168,17777,3815,17089,7292,12611,4756,15528,11664,9224,11296,9565,11513,9757,7437,13367,11901,8041,12647,8849,17000,4196,18980,2622,7094,14222,17318,4460,10943,10824,13675,7723,7560,4223,7813,4101,4623,12846,8726,8733,8883,8535,9832,7624,7871,9499,5101,12539,10631,6590,8856,8668,11905,5991,12017,5643,14791,2773,14242,3156,7961,9482,9284,6894,10632,5714,9720,6824,7287,9481,7292,9496,7276,9482,7311,9469,6005,5253,4039,7212,15209,7028,9542,11995,8594,13637,13977,8438,10571,12224,13244,9005,11521,11040,15573,6836,15872,5846,15650,6517,8588,14624,10149,11955,8236,3840,7860,4223,8016,4036,8067,3959,8142,3869,2342,9777,2374,11629,5745,8455,8729,5018,6722,7433,7118,7118,11109,8554,5832,13003,12596,6965,6346,12559,9742,9515,12178,6663,9527,9811,7600,11277,12416,6244,5967,7565,8613,5091,13139,8271,12115,7944,10141,10986,11326,9378,14099,7026,4280,16653,7669,13247,13373,7772,16784,4146,10587,10079,6131,13811,5164,6721,6192,5347,7932,7369,6877,8317,11143,4224,11543,3974,8456,7019,9502,5627,2891,11558,13578,9060,8945,13458,9687,12499,7631,14666,10508,12113,12991,10250,10676,12118,8142,14636,12269,9491,13417,8748,14652,8048,16313,6488,15448,7728,12341,11114,14853,7819,8800,13255,14061,8931
Colusa,2931,1322,2679,1518,1551,2562,1594,2465,1212,2768,2924,1315,2626,1770,2658,1781,1795,2487,2536,1881,3224,1137,3024,1255,3105,1283,3122,1638,2508,2377,2383,1486,2860,1064,1300,2649,1104,2842,908,4912,1312,4474,2511,3045,1555,4021,3199,2507,2975,2691,3698,2132,2074,3690,3278,2243,3801,2216,4990,922,5331,712,1974,3932,4477,1577,3470,2535,4001,1955,2524,1426,2689,1319,1497,3271,2424,2320,2526,2214,2590,2140,1787,2975,1304,3491,2902,1663,2081,2718,3427,1449,3742,1083,4130,658,4141,602,2381,2372,2570,1794,2854,1556,2710,1774,2077,2415,2089,2405,2084,2412,2084,2409,1049,1541,1315,1243,4577,1566,2928,3033,2675,3445,4192,1947,3523,2726,3602,2578,2732,3486,4488,1698,4434,1660,4571,1593,1815,4556,2849,3240,2223,829,2143,912,2148,884,2094,937,2141,881,763,2295,644,2605,1417,1991,2301,1007,1462,1971,1432,1983,3530,1644,1592,3363,3979,1134,1625,3320,2113,2904,3517,1449,3052,2004,1776,3209,3321,1604,1515,1984,2398,1148,3618,2312,3322,2381,2515,3372,2728,3063,4006,1824,1137,4702,2674,3149,4206,1681,4591,1243,3313,2454,1997,3569,1486,1759,1661,1483,1286,2662,1472,2582,2953,1133,2798,1340,2246,1810,2940,1132,785,3207,3486,3010,2654,3766,2945,3435,2475,3877,3157,3289,3359,3212,3353,3128,2282,4206,3995,2263,3805,2491,4316,2141,4544,1933,4140,2420,3675,2858,4214,2179,2834,3409,4231,2189
Contra Costa,74344,103748,79849,95390,51743,125528,45505,125830,28073,140408,104307,68910,104366,146482,98626,155087,56006,181133,107045,146182,106375,141619,136281,103872,147877,101422,170263,114839,195335,102275,103286,137574,153273,86861,88583,154627,68313,173778,50083,320007,57503,311281,118797,232877,83870,270351,133635,250949,211023,161555,169384,216795,170118,201997,208632,131695,198267,194131,259698,117104,333468,54338,140035,248011,313670,76906,134049,263917,186355,200409,81856,93948,104489,73548,58224,234457,96323,195817,111918,179713,108765,182856,81601,210524,92931,200464,114778,174136,181989,113768,140501,159028,151334,147591,215613,77050,203448,83570,155487,133554,164436,128448,168654,132329,156222,147584,154382,152385,152348,149411,152003,149753,151784,149232,100402,63090,58701,104094,259829,163033,195880,210252,142053,275806,196267,234141,138709,290503,161521,264032,252332,180546,255065,172265,288053,127892,282371,141738,246753,198713,192997,224927,102882,80323,98199,83170,110868,71616,109375,72195,109105,70343,31125,152276,27538,168788,89657,111838,107218,87191,118779,83312,116515,85047,175795,168219,129398,194117,182865,156327,134708,191498,224321,108652,171731,147489,122771,206867,172812,150441,182173,135672,67888,116774,77990,111770,168617,259438,229808,165180,254304,166536,243076,170768,204707,216365,68933,351062,115758,301138,217485,204511,292548,121894,134613,273647,102175,288395,52945,91106,52494,87509,81621,162331,70795,171172,134532,113756,162464,87550,84294,164346,155192,86868,54520,192537,200091,253389,133026,315435,240321,202237,163890,278107,161760,291824,144498,319269,138363,311352,107062,340013,179953,245794,246343,189007,215815,227285,225545,230039,140534,319173,182350,281832,235857,215564,221586,208825,190246,264671
Del Norte,3625,1903,3419,2052,2244,3239,1662,3745,1174,4180,3358,2069,3471,2850,3604,2697,2150,3990,3188,3332,4353,2120,4263,2077,4169,2287,4545,1848,3710,2814,3471,2093,3674,1885,2441,3063,1916,3582,1401,7605,1692,7206,2748,5765,1955,6629,4617,4300,4522,4083,4150,4635,3815,4703,4829,3519,4407,4594,6721,2224,7415,1663,3121,5811,6194,2868,4511,4481,4974,3845,3185,2644,3350,2517,2043,4518,3554,3005,3360,3196,3689,2871,3375,3170,1764,4870,4326,2166,3413,3222,4087,2598,4093,2529,5290,1307,5051,1495,3063,3492,3822,2484,3930,2454,3426,3012,2903,3567,2920,3556,2914,3574,2909,3518,2217,2274,1550,2908,6141,2903,5070,3623,3034,6017,5999,3102,4023,5190,4938,4139,4406,4807,5942,3247,5829,3227,5694,3347,3770,5658,3449,5570,3325,1523,3199,1608,3353,1478,3329,1488,3385,1443,950,3911,1125,4853,2368,3656,3488,2341,2907,3021,3119,2907,4083,4058,3164,4469,5391,2591,3031,4733,3964,3859,4621,3041,3696,4070,3180,4466,4455,3146,2032,2989,2982,2122,4578,3974,5105,3038,4285,4102,4882,3395,5574,2832,1337,7067,2731,5676,3544,4911,6445,1948,4066,4164,2646,5406,2056,3497,2706,2652,3812,3001,2590,4103,4133,2728,4463,2457,3402,3485,3532,3217,1293,4359,5139,3985,3979,5170,3716,5361,3092,5938,4049,5137,5018,4553,4741,4651,3288,6062,4859,4138,5163,3694,5162,3981,6353,2978,6375,3129,3863,5674,5372,3935,3787,5266,5459,3951
