Date,Proposition,Description,Election_type
2002-03-05,Proposition_40,"Clean Water/Air, Safe Parks, Coast Protection",primary-election
2002-03-05,Proposition_41,Voting Modernization Bond Act of 2002,primary-election
2002-03-05,Proposition_42,Transportation Funding: Sales/Use Tax Revenues,primary-election
2002-03-05,Proposition_43,Right to have vote counted,primary-election
2002-03-05,Proposition_44,Insurance Fraud,primary-election
2002-03-05,Proposition_45,Legislative Term Limits. Local Voter Petitions.,primary-election
2002-11-05,Proposition_46,Housing and Emergency Shelter Trust Fund,general-election
2002-11-05,Proposition_47,Kindergarten-University Facilities Bond,general-election
2002-11-05,Proposition_48,Court Consolidation,general-election
2002-11-05,Proposition_49,After School Programs. State Grants,general-election
2002-11-05,Proposition_50,"Water Quality, Supply/Safe Drinking Water Bonds",general-election
2002-11-05,Proposition_51,Transportation. Allocation of Motor Vehicle Taxes,general-election
2002-11-05,Proposition_52,Election Day Voter Registration,general-election
2003-10-07,Proposition_53,Infrastructure: Finance,statewide-special-election
2003-10-07,Proposition_54,"Classification by Race, ... Color or Origin",statewide-special-election
2004-03-02,Proposition_55,Education Bond,presidential-primary-election
2004-03-02,Proposition_56,State Budget,presidential-primary-election
2004-03-02,Proposition_57,Economic Recovery Bond,presidential-primary-election
2004-03-02,Proposition_58,Balanced Budget,presidential-primary-election
2004-11-02,Proposition_1A,Protection of Local Government Revenues,presidential-general-election
2004-11-02,Proposition_59,"Public Records, Open Meetings",presidential-general-election
2004-11-02,Proposition_60,Election Rights of Political Parties,presidential-general-election
2004-11-02,Proposition_60A,Surplus Property.,presidential-general-election
2004-11-02,Proposition_61,Children's Hospital Projects. Grant Program.,presidential-general-election
2004-11-02,Proposition_62,Elections. Primaries,presidential-general-election
2004-11-02,Proposition_63,Mental Health Services Expansion.,presidential-general-election
2004-11-02,Proposition_64,Limits on Private Enforcement of Business Laws,presidential-general-election
2004-11-02,Proposition_65,"Local Government Funds, Revenues. State Mandates",presidential-general-election
2004-11-02,Proposition_66,"Limitations on ""Three Strikes"" Law",presidential-general-election
2004-11-02,Proposition_67,Emergency Medical Services. Funding.,presidential-general-election
2004-11-02,Proposition_68,Non-Tribal Commercial Gambling Expansion,presidential-general-election
2004-11-02,Proposition_69,DNA Samples. Collection. Database. Funding,presidential-general-election
2004-11-02,Proposition_70,Tribal Gaming Compacts. Exclusive Gaming Rights,presidential-general-election
2004-11-02,Proposition_71,Stem Cell Research. Funding. Bonds,presidential-general-election
2004-11-02,Proposition_72,Health Care Coverage Requirements,presidential-general-election
2006-06-06,Proposition_81,"Reading Improvement, Library Renovation Bond Act",gubernatorial-primary-election
2006-06-06,Proposition_82,Preschool Education. Tax Increase Upper Income.,gubernatorial-primary-election
2006-11-07,Proposition_1A,"Transportation Funding Protection
",general-election
2006-11-07,Proposition_1B,"Highway Safety/Air Quality/
Port Security Bond 2006
",general-election
2006-11-07,Proposition_1C,"Housing/Emergency Shelter Trust Fund 2006
",general-election
2006-11-07,Proposition_1D,"Public Education Facilities Bond 2006
",general-election
2006-11-07,Proposition_1E,"Disaster Preparedness/Flood Prevention Bond 2006
",general-election
2006-11-07,Proposition_83,"Sex Offenders/
Residence Restrictions 
Monitoring",general-election
2006-11-07,Proposition_84,"Water Qual/Flood/
Resource Protection/
Park Bonds",general-election
2006-11-07,Proposition_85,"Waiting Period/
Parental Notification
",general-election
2006-11-07,Proposition_86,"Cigarette Tax 
Initiative
",general-election
2006-11-07,Proposition_87,"Alternative Energy/Research/
Oil Producer Tax",general-election
2006-11-07,Proposition_88,"Education Funding/Real Property Parcel Tax
",general-election
2006-11-07,Proposition_89,"Political Campaigns/Public Financing/Corp Tax
",general-election
2006-11-07,Proposition_90,Govt Acquisition/Regulation of Private Property,general-election
2008-02-05,Proposition_91,Transportation Funds.,presidential-primary-election
2008-02-05,Proposition_92,Community Colleges. Funding. Governance. Fees.,presidential-primary-election
2008-02-05,Proposition_93,Limits on Legislators' Terms in Office.,presidential-primary-election
2008-02-05,Proposition_94,Ref on Amd to Indian Gaming Compact: Pechanga,presidential-primary-election
